thread_number,TITLE
thread 1,pm  narendramodi all foregn trips on weekends 4 all world leaders its holiday pm modi never took a single holiday in 17 years as guj cm r pm
thread 1,pm  narendramodi every us trip covering 2 eu countries while going to us r s r n america pm has to halt in eu travel night using time wisely
thread 1,pm  narendramodi nda govt will act remove harriet leaders security within a week harriet leader run away to pak like thiefs dawood terroris
thread 1,nda govt should declare president rule inj  amp k fallow israel west bank settlement plan create new colonies 4 army pundits push awayterrorist
thread 1,bjp should ignore break ties with shivsena nda already has bjd trs ysrcp might get jdu sp bsp support nda president kovid can get 70   votes
thread 1,rt  narendramodi  shri ram nath kovind  a farmer s son  comes from a humble background  he devoted his life to public service  amp  worked for   
thread 1,hearty congratulations to pm  narendramodi bjp president  amitshah for picking super best president candidate ram nath kovind trs ysrcp sup
thread 2,chattisgarh govt should take advice lessons from telangana ap police tg ap eliminating naxals at their will destroying moists successfully 
